"Gene","logFC","adj.P.Val"
"MTMR6",0.598358514624074,0.403310229840667
"LY96",0.895166171651102,0.403310229840667
"FNIP1",0.591455313985792,0.403310229840667
"RASA4B",-0.553312883177024,0.403310229840667
"LYSMD3",0.660265352063844,0.403310229840667
"ACCN3",-0.568058262079634,0.403310229840667
"GPR35",-0.560739724001818,0.403310229840667
"CENPM",0.582974184870898,0.403310229840667
"CHPT1",0.539544521176762,0.403608708093617
"PIK3R6",-0.51350781039961,0.405998843535371
"LRRK2",0.774880749172438,0.405998843535371
"SLC38A2",0.617921907445188,0.406003658433106
"ZNF230",0.517679851982061,0.406003658433106
"STEAP4",0.759851902951179,0.406764602203432
"SPNS3",-0.698346417205759,0.406909160869626
"ADD3",0.584282225019045,0.407166175979243
"PHTF1",0.594139485613795,0.407166175979243
"NAAA",0.511291455625345,0.408413215820335
"TRAV5",-0.750570289869217,0.411938154244918
"GIMAP7",0.500884038252773,0.413165573347219
"ZNF514",0.81096184052033,0.413407670143995
"CARNS1",-0.535056289278466,0.415778177587443
"PIGB",0.557068491131132,0.416894158818139
"SNX10",0.639197474494533,0.418052975005088
"MT-ND2",-0.504707019428146,0.418052975005088
"S100A8",0.831049846534034,0.418052975005088
"MT-ND4",-0.529694476181072,0.41868834787146
"USP10",0.627102638774683,0.419206448468024
"MEF2C",0.531636745068327,0.419206448468024
"HBB",-0.558783540749571,0.419511319799329
"ADAM10",0.534066695366843,0.419511319799329
"TNFAIP6",0.817250754118329,0.419511319799329
"BAIAP2L1",0.582954862341578,0.419511319799329
"PSMA6",0.569520134312399,0.419511319799329
"ZBTB34",0.567137307378022,0.419511319799329
"PPP4R2",0.641525284663856,0.419511319799329
"MT-CYB",-0.513063757544286,0.419511319799329
"ARL11",0.543365111124947,0.420285630536995
"UBXN4",0.504634647297959,0.420285630536995
"LMNB1",0.644145335031059,0.421585062995091
"PLXNC1",0.61311410525231,0.423335195449712
"PAG1",0.653701331253851,0.423703284966899
"JAK2",0.649926810978039,0.423703284966899
"FBXO7",-0.572240338724462,0.423703284966899
"DCK",0.541887977064987,0.423703284966899
"RASA2",0.564361876684648,0.423703284966899
"HIGD1A",0.513763510491502,0.423703284966899
"XRRA1",-0.627694897272485,0.424500404638031
"ABI3",-0.544676679086274,0.424500404638031
"CD58",0.567620600350345,0.424500404638031
"SRPK1",0.627847787395084,0.424500404638031
"SF3A2",-0.521849335669697,0.425337982742894
"LDOC1",-0.633093471697028,0.426272612807398
"BRCA2",-0.567900604251887,0.426441898563071
"IL6ST",0.616730876608494,0.428459785342838
"TAC3",-0.591867154772292,0.429316170692403
"GAS8",-0.645790977826393,0.429316170692403
"ARGLU1",0.677120059056936,0.429316170692403
"MBNL3",-0.61272848801443,0.429383547371878
"HJURP",-0.510029797252276,0.429383547371878
"ZNF534",0.655986555748943,0.429383547371878
"GPR162",-0.674505971576886,0.429383547371878
"ZDHHC20",0.837467076992012,0.429383547371878
"UQCRQ",0.641347229973404,0.429383547371878
"KIF27",0.504404325774574,0.42950577589861
"KIR2DL1",-0.606032970991677,0.429596677039182
"SCYL2",0.550224509245376,0.429596677039182
"MFN1",0.542809559007664,0.43419199745605
"APPL2",0.512533149260048,0.43419199745605
"BACH1",0.511583975225113,0.43419199745605
"PPP1R12A",0.631273833174377,0.435184157410472
"MAK",0.557097329319618,0.436949775060595
"COMMD8",0.573550933011398,0.436949775060595
"C1GALT1",0.500165173447253,0.438520248788625
"IFI44",1.16002245065953,0.438520248788625
"KLHDC8B",0.58232444166497,0.439336135410856
"PKN2",0.726441782868698,0.439336135410856
"ZNF22",0.513169135354124,0.439336135410856
"P2RX1",0.612410892487015,0.439336135410856
"ZFYVE16",0.717982149642466,0.439336135410856
"RNF13",0.532023063385667,0.439336135410856
"IGHV1-3",-1.31649195178258,0.439336135410856
"RBM47",0.595135244171317,0.439340881404676
"FAM20C",0.721265732784541,0.440123429873211
"ANKRD28",0.50039479770057,0.440123429873211
"DBP",-0.512102802896767,0.440123429873211
"IFNGR1",0.581841877610906,0.440123429873211
"TPT1",0.519512394867924,0.440123429873211
"NAMPT",0.533570420995968,0.440123429873211
"CLEC4D",0.930845856755142,0.440123429873211
"RUNDC3A",-0.728875021456217,0.440123429873211
"IFIT2",0.832037827434865,0.440123429873211
"ARID4B",0.584294481921715,0.440123429873211
"LTC4S",-0.72766472146912,0.440123429873211
"ZDHHC17",0.679909688164781,0.441631936682257
"TNS1",-0.675559528212869,0.441631936682257
"PPM1B",0.5366794846325,0.442135525554804
"CLK1",0.544193070549601,0.442135525554804
"B4GALT7",-0.622851471620383,0.442135525554804
"SENP7",0.577643155577589,0.442135525554804
"S1PR5",-0.756672458840718,0.442135525554804
"NT5E",0.590565354440345,0.442135525554804
"PIK3CA",0.531804594857421,0.442135525554804
"ZNF267",0.582206198264758,0.442135525554804
