"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CTD-2224J9.4.1",1.43303386435197,0.728006528137999,2.31337079603401,0.0283308951873699,0.396420965136957,-3.41177198848109
"DNAJA1P3",0.599039022205371,2.21092159134474,2.31295305658779,0.0283570862810587,0.396420965136957,-3.41245260209196
"TLR9",0.528902621348284,2.57849774570322,2.3128355569931,0.0283644571386771,0.396420965136957,-3.4126440279365
"NAMPTL",0.610901383491369,8.86539098837127,2.30768393315054,0.0286893388822656,0.397340266327026,-3.42103096300729
"DDX3X",0.581471745998257,5.42961387849585,2.3069831171499,0.0287337952227332,0.397340266327026,-3.42217101230082
"C12orf35",0.660877785179138,6.46228327138355,2.3067888997161,0.0287461264895753,0.397340266327026,-3.42248691680635
"IER3IP1",0.51177745052057,2.67524085753221,2.30416829424517,0.0289129845339146,0.397340266327026,-3.42674785775106
"RP11-164H13.1.1",0.568511664945043,0.693470218907478,2.30361239447525,0.0289484923580925,0.397340266327026,-3.42765133118274
"RGS9",-0.536301059909295,1.47336476156335,-2.30354309929265,0.0289529213267826,0.397340266327026,-3.42776394339586
"CTSW",-0.590417880689795,6.84349408342005,-2.3034224087899,0.028960636671243,0.397340266327026,-3.42796007359541
"CDKN3",0.859127994157598,0.811333499476849,2.30255814363108,0.0290159408262473,0.397340266327026,-3.42936437696801
"RAB36",0.529418107091411,1.42794706323426,2.30165865019232,0.0290736009928681,0.397340266327026,-3.43082557478547
"MEGF9",0.643044425937241,5.14086210996533,2.30133715989156,0.0290942346716632,0.397340266327026,-3.43134773959314
"TPTEP1",-0.619941932283515,2.51812985118513,-2.29377633232226,0.0295833451204596,0.401318954696424,-3.4436150030527
"UBE2WP1",0.816351975598595,0.805076139955838,2.293085553644,0.0296284013169865,0.401318954696424,-3.44473452577804
"FAM132A",-0.524659206941845,1.61378794834402,-2.29223105851072,0.0296842220363625,0.401318954696424,-3.44611908852981
"SAMD9L",0.655249709637703,4.37998375513806,2.29020320736606,0.0298170751801382,0.401318954696424,-3.44940358893205
"AC093106.5.1",-0.510225174901996,2.65891388871516,-2.29012618040376,0.029822132152405,0.401318954696424,-3.44952831346854
"CTD-3065B20.1.1",0.954961757166516,1.9265876469211,2.29003346263841,0.0298282202879745,0.401318954696424,-3.44967844159611
"SIAH2",0.527829036466941,4.90532817497097,2.28842858285597,0.0299337803319061,0.402085688605806,-3.45227645510189
"DUSP8",-0.582058565465342,1.06273557067437,-2.28627265552603,0.0300761180934659,0.402085688605806,-3.45576473034748
"APOBEC3A",0.627288120536957,8.21515011610731,2.28554923242718,0.030124016887742,0.402085688605806,-3.4569347646383
"CABP4",-0.632715656907392,1.10022189323573,-2.283188292813,0.030280819032554,0.402575813450337,-3.46075164267166
"FAM160B1",0.719227998323566,2.5315194405843,2.28232064595729,0.030338629458622,0.402575813450337,-3.46215372914061
"PRPS1P2",0.507508841857602,0.762440879967058,2.28148958804368,0.0303940957167931,0.402575813450337,-3.46349637711524
"PLA2G16",-0.62360238098722,2.74122353611279,-2.28018439812615,0.0304813917805591,0.402656012346504,-3.46560441078908
"SEMA6B",0.509576005406212,0.899272730461867,2.2777833916668,0.0306425734627401,0.402898701909986,-3.46948034563889
"SPDYC",0.710569146700762,0.687428509322326,2.27737185064124,0.0306702779194524,0.402898701909986,-3.47014443814421
"MAP1S",-0.50692296637245,4.6051159861868,-2.2769649083956,0.0306976950886787,0.402898701909986,-3.47080103587083
"TLR8",0.560045353129371,4.88868775560911,2.27348761956197,0.0309328789539043,0.403310229840667,-3.47640861327513
"SPTLC1P4",0.784078367428771,0.728184026102032,2.27252605195941,0.030998201070028,0.403310229840667,-3.47795831705282
"ALOX15",-1.1679849301792,2.88447332929959,-2.27245379521413,0.0310031147224801,0.403310229840667,-3.47807475252669
"TGFA",0.550087380882061,2.63029277675445,2.27235558355829,0.0310097945085531,0.403310229840667,-3.47823300836278
"COX7CP1",0.841090073523215,5.82994333229524,2.27099214162536,0.0311026625422036,0.403310229840667,-3.48042958164501
"PCMTD2",0.535007143850515,2.92472515294892,2.26877458037076,0.0312542447515621,0.403310229840667,-3.48400041592421
"SNX4",0.537708207661667,2.16990317159276,2.26865375899601,0.0312625227071122,0.403310229840667,-3.48419490593399
"ACCN3",-0.568058262079634,1.87468810792389,-2.26821226920777,0.0312927878056405,0.403310229840667,-3.48490553074238
"JAZF1",-0.511308798518551,4.51127602283334,-2.26707309288168,0.0313710033167624,0.403310229840667,-3.48673875472104
"C5orf24",0.503610872117088,1.85503392602176,2.26592901709257,0.0314497331502103,0.403310229840667,-3.48857928028678
"CENPM",0.582974184870898,1.72704582526238,2.26588103996956,0.0314530386073231,0.403310229840667,-3.48865645044889
"CTD-3110H11.2.1",0.509054595153564,2.05588635962634,2.26540996202232,0.0314855109334706,0.403310229840667,-3.48941411450687
"CEPT1",0.502240891045734,3.82066836921459,2.26488563821867,0.0315216892503876,0.403310229840667,-3.49025730061791
"CCL3L3",-0.882172763843158,1.15313200190139,-2.26314570842725,0.0316420138323855,0.403310229840667,-3.4930544709152
"RP11-368P15.3.1",0.643342660424448,2.36613767850645,2.26106753209687,0.0317862739342475,0.403310229840667,-3.49639364290247
"PDXP",-0.634170062583474,1.77257186189014,-2.26085046109579,0.0318013765263981,0.403310229840667,-3.4967423166837
"WNT10A",-0.523797421611756,1.41654497878412,-2.2606678812227,0.0318140844399242,0.403310229840667,-3.49703557219244
"RP5-1053E7.3.1",0.616727712910635,1.51506728665502,2.26060900700399,0.0318181831784513,0.403310229840667,-3.49713013139688
"MTMR6",0.598358514624074,2.90924671343019,2.26054341590731,0.0318227500984951,0.403310229840667,-3.49723547690092
"LYSMD3",0.660265352063844,1.62587091389733,2.25805796179506,0.0319962423569925,0.403310229840667,-3.5012259300494
"RASA4B",-0.553312883177024,3.62182601251227,-2.25748172784677,0.0320365871066649,0.403310229840667,-3.50215069106805
